Designator,X,Y,Angle
U214,40.439414,108.65778399999999,-110.0
U153,85.79631999999998,90.52087999999998,25.0
U211,36.71234000000001,99.86859899999999,-110.0
U96,169.91000000000003,83.07,65.0
U75,140.89999999999998,117.0,180.0
U146,106.89999999999998,97.79999999999998,12.0
U48,60.32499999999999,103.17499999999998,-162.0
U127,155.93,88.18,-125.0
U143,115.93293899999998,99.23594699999998,5.0
U149,97.80660699999999,95.19999999999999,16.0
U42,49.57546099999999,111.037116,40.0
U168,58.51405299999999,71.75293899999997,95.0
U25,73.84883200000002,153.765831,70.0
U103,159.66000000000003,62.20999999999998,50.0
U207,31.608832000000007,87.815831,-110.0
U137,133.89999999999998,99.79999999999998,0.0
U125,150.95221500000002,84.20058599999999,-160.0
U160,65.88999999999999,88.86000000000001,-40.0
U124,147.91000000000003,83.02999999999997,-160.0
U129,156.76999999999998,94.70999999999998,-80.0
U139,127.89999999999998,99.79999999999998,0.0
U108,145.12,59.610000000000014,-10.0
U60,96.23614800000001,106.63882699999999,165.0
U144,112.87,98.89479399999999,8.0
U37,63.89999999999998,117.79999999999998,50.0
U190,29.900000000000006,38.099999999999966,-35.0
U206,30.30000000000001,84.77999999999997,-110.0
U216,42.80000000000001,114.29999999999998,-110.0
U100,163.98000000000002,71.15999999999997,70.0
U157,74.0,84.69999999999999,15.0
U172,60.69999999999999,59.81999999999999,96.0
U114,128.65545500000002,67.40682499999997,-40.0
U71,128.804169,113.31116799999998,-155.0
U156,77.19999999999999,86.0,24.0
U145,109.84936499999998,98.38,10.0
U106,150.95,59.14999999999998,0.0
U8,53.099999999999994,138.6,-110.0
U164,57.0,83.89999999999998,90.0
U200,23.0,66.81,-105.0
U73,134.87,115.91,-162.0
U154,83.10000000000002,89.09999999999997,25.0
U191,27.14781099999999,40.138266999999985,-44.0
U11,56.60000000000002,147.67999999999998,-110.0
U192,24.77000000000001,42.69999999999999,-50.0
U53,75.07499999999999,107.85,-170.0
U33,66.62508300000002,129.82,88.0
U28,70.44999999999999,144.92,73.0
U57,87.01999999999998,108.19999999999999,180.0
U44,48.50883200000001,104.684169,110.0
U9,54.30000000000001,141.6,-110.0
U209,34.19999999999999,93.89999999999998,-110.0
U135,139.89999999999998,99.79999999999998,0.0
U98,166.75,77.25999999999999,67.0
U107,147.97000000000003,59.349999999999966,-5.0
U7,51.808831999999995,135.415831,-110.0
U67,116.95999999999998,106.47999999999999,-160.0
U187,39.07238799999999,34.457965,-10.0
U175,62.10000000000002,50.76999999999998,95.0
U184,48.30000000000001,33.89999999999998,0.0
U66,113.98000000000002,105.26999999999998,-165.0
U72,131.768599,114.79234,-155.0
U120,135.61,80.89999999999998,-175.0
U181,57.10000000000002,34.69999999999999,15.0
U21,75.67000000000002,165.76,110.0
